KAWASAKI PUMP PRICE LIST,,,,,,,,,,
Line No.,Brand,,Machine Model No.,Pump No.,SKS Part No.,SKS  Pump No.,SKS Price(USD/PC),Remarks,Images,Description
1,KOBELCO,19,SK135/130,K3V63DTP-60E01,Y422-0017,SK3V63DTP-110R-OE01-102,"1,301.00",Without   PTO,,"KOBELCO hydraulic pump assembly for SK135/130 machine models. This unit features the K3V63DTP-60E01 pump, which is a high-quality replacement part. The associated SKS reference is SK3V63DTP-110R-OE01-102, and it corresponds to part number Y422-0017. Designed for optimal compatibility and long-lasting performance, this pump is available at a price of $1,301.00. Supplied without PTO, making it ideal for applications not requiring auxiliary drive."
2,,19,,K3V63DTP-60E02,Y422-0005,SK3V63DTP-110R-OE02-012,"1,301.00",With PTO,,"Replacement hydraulic pump for the same KOBELCO SK135/130 machine series, featuring the K3V63DTP-60E02 model. This version is a slight variation from the previous, tailored to meet specific operational requirements. Identified by SKS pump number SK3V63DTP-110R-OE02-012 and part number Y422-0005, it is priced at $1,301.00. Includes PTO functionality, offering additional flexibility for machinery that supports or requires PTO drive systems."
3,KOBELCO,19,SK135-8/140-8/130-8,K7V63DTP-0E13/0E23,Y1422-0000,SK7V63DTP-110R-0E23-102,"1,400.00",,,"Genuine KOBELCO hydraulic pump compatible with a wide range of models including SK135-8, SK140-8, and SK130-8. It includes the advanced K7V63DTP-0E13/0E23 pump, ensuring reliable performance in demanding working conditions. SKS reference number is SK7V63DTP-110R-0E23-102, and part number is Y1422-0000. Offered at $1,400.00, this unit is engineered to deliver high efficiency and durability in a variety of heavy-duty applications."
4,KOBELCO,19,SK200-8/210-8/250-8,K3V112DTP-GYT6K,Y424-0026,SK3V112DTP-121R-YT6K-205,"1,487.00",,#NAME?,"High-performance KOBELCO hydraulic pump suitable for SK200-8, SK210-8, and SK250-8 models. This unit features the K3V112DTP-GYT6K pump and matches SKS reference SK3V112DTP-121R-YT6K-205, part number Y424-0026. Designed for durability and smooth operation under demanding workloads. Ideal for replacement or upgrade in heavy-duty machinery applications."
5,KOBELCO,19,SK230-6E,K3V112DTP-G9TEL,Y424-0016,SK3V112DTP-110R-9TEL-202,"1,487.00",,#NAME?,"OEM-grade hydraulic pump for KOBELCO SK230-6E machines. Equipped with pump model K3V112DTP-G9TEL and referenced by SKS number SK3V112DTP-110R-9TEL-202, part Y424-0016. This unit ensures exceptional power delivery and hydraulic efficiency. Perfect fit and long-lasting construction make it ideal for field use and machine restoration."
6,KOBELCO,19,SK200-6?new aluminum support?,K3V112DTP-G9TDL,Y424-0019,SK3V112DTP-111R-9TDL-202,"1,487.00",,,"Premium hydraulic pump from KOBELCO for SK200-6 machines with new aluminum support. This version includes the K3V112DTP-G9TDL pump, SKS reference SK3V112DTP-111R-9TDL-202, and part Y424-0019. Engineered for improved wear resistance and energy transmission. Fits directly with factory configurations for smooth operation."
7,KOBELCO,19,SK200-6?old steel support) ,K3V112DTP-9T1L,Y424-0086,SK3V112DTP-110R-9T1L-202,"1,487.00",,#NAME?,KOBELCO pump system for SK200-6 models with old steel support design. Integrated with pump model K3V112DTP-9T1L and SKS pump SK3V112DTP-110R-9T1L-202. Part number Y424-0086. Provides enhanced reliability and strong pressure capacity for units requiring reinforced steel support compatibility. Suitable for heavy-load applications.
8,KOBELCO,19,SK230-6,K3V112DTP-9TBR,Y424-0084,SK3V112DTP-111R-9TBR-202,"1,487.00",,,Heavy-duty hydraulic pump designed for KOBELCO SK230-6. Model K3V112DTP-9TBR is paired with SKS ref SK3V112DTP-111R-9TBR-202 and part Y424-0084. Delivers robust performance in harsh job sites and long duty cycles. Precision-engineered to match OEM standards. An excellent replacement solution ready to power up your machine.
9,KOBELCO,19,SK230-6E,K3V112DTP-9TBS,Y424-0083,SK3V112DTP-111R-9TBS-202,"1,487.00",,,"Compatible with KOBELCO SK230-6E machines, this hydraulic pump features the K3V112DTP-9TBS model. Includes SKS number SK3V112DTP-111R-9TBS-202 and part Y424-0083. Provides improved fluid control, stability, and system efficiency. Designed for high-load environments and meets original quality standards with advanced materials."
10,KOBELCO,19,SK350-8,K5V140DTP-YT6K,Y418-0001,SK5V140DTP-121R-YT6K-205,"1,480.00",,#NAME?,"Top-tier hydraulic pump solution for KOBELCO SK350-8 model, this unit includes K5V140DTP-YT6K pump, SKS reference SK5V140DTP-121R-YT6K-205, and part Y418-0001. Engineered for high-capacity operations with minimal maintenance. Optimized for prolonged uptime and precision hydraulics. Excellent option for maintaining peak equipment performance."
